Votes,Avg_Rating,Geek_Rating
N/A,N/A,N/A
,,
3,6.67,N/A
,,
3,8,N/A
,,
6,7.83,N/A
,,
N/A,N/A,N/A
,,
7,7.86,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
15,8.13,N/A
,,
28,9.21,N/A
,,
N/A,N/A,N/A
,,
5,7.22,N/A
,,
4,6.97,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
14,8.46,N/A
,,
19,7.37,N/A
,,
N/A,N/A,N/A
,,
11,7.68,N/A
,,
21,7.57,N/A
,,
1,7,N/A
,,
16,8.31,N/A
,,
2,7.5,N/A
,,
20,7.9,N/A
,,
1,8,N/A
,,
1,8,N/A
,,
3,8,N/A
,,
8,7.56,N/A
,,
1,6,N/A
,,
6,5.33,N/A
,,
1,8,N/A
,,
1,9,N/A
,,
3,8,N/A
,,
3,8,N/A
,,
3,8,N/A
,,
3,8,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
14,5.84,N/A
,,
4,7.25,N/A
,,
N/A,N/A,N/A
,,
2,7.5,N/A
,,
6,8.33,N/A
,,
N/A,N/A,N/A
,,
2,8,N/A
,,
2,7,N/A
,,
22,7.5,N/A
,,
179,7.76,5.78
,,
3,8.67,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
1,9,N/A
,,
11,6.45,N/A
,,
N/A,N/A,N/A
,,
2,5.5,N/A
,,
6,9.33,N/A
,,
10,6.77,N/A
,,
11,8.09,N/A
,,
N/A,N/A,N/A
,,
8,6.97,N/A
,,
10,6.6,N/A
,,
1,10,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
7,7.2,N/A
,,
N/A,N/A,N/A
,,
3,8.33,N/A
,,
1,5,N/A
,,
1,8,N/A
,,
1,8,N/A
,,
N/A,N/A,N/A
,,
4,7,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
16,6.38,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
42,7.88,5.574
,,
20,7.58,N/A
,,
N/A,N/A,N/A
,,
2,7.5,N/A
,,
1,7.5,N/A
,,
2,4,N/A
,,
7,8.29,N/A
,,
7,8.43,N/A
,,
2,7.5,N/A
,,
7,8.14,N/A
,,
4,8.5,N/A
,,
4,8.38,N/A
,,
11,7.09,N/A
,,
2,6.75,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
1,1,N/A
,,
26,7.56,N/A
,,
8,2.71,N/A
,,
2,8.5,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
25,7.32,N/A
,,
N/A,N/A,N/A
,,
2,5.5,N/A
,,
4,7,N/A
,,
19,5.35,N/A
,,
1,6.5,N/A
,,
20,6.42,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
14,8.11,N/A
,,
3,7.33,N/A
,,
N/A,N/A,N/A
,,
5,8.6,N/A
,,
6,8.83,N/A
,,
3,9.33,N/A
,,
3,8,N/A
,,
4,8,N/A
,,
3,9.33,N/A
,,
4,7.69,N/A
,,
9,6.33,N/A
,,
92,8.32,5.679
,,
6,8.08,N/A
,,
3,8.33,N/A
,,
1,6,N/A
,,
2,7.5,N/A
,,
N/A,N/A,N/A
,,
22,7.75,N/A
,,
N/A,N/A,N/A
,,
296,8.21,6.006
,,
N/A,N/A,N/A
,,
20,6.81,N/A
,,
10,8.9,N/A
,,
N/A,N/A,N/A
,,
12,9.83,N/A
,,
N/A,N/A,N/A
,,
11,6.27,N/A
,,
9,7.9,N/A
,,
N/A,N/A,N/A
,,
16,5.97,N/A
,,
8,7.62,N/A
,,
N/A,N/A,N/A
,,
4,8.5,N/A
,,
3,8.5,N/A
,,
7,8.43,N/A
,,
4,8.88,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
2,4.75,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
69,8.87,5.666
,,
12,7.33,N/A
,,
14,7.69,N/A
,,
N/A,N/A,N/A
,,
2,7.5,N/A
,,
2,7.5,N/A
,,
2,7.5,N/A
,,
16,7.22,N/A
,,
111,8.14,5.693
,,
1,2,N/A
,,
N/A,N/A,N/A
,,
1,7,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
4,8.5,N/A
,,
24,6.34,N/A
,,
9,6.28,N/A
,,
13,8.15,N/A
,,
2,9,N/A
,,
N/A,N/A,N/A
,,
1,6,N/A
,,
1,2,N/A
,,
3,8.67,N/A
,,
N/A,N/A,N/A
,,
1,7,N/A
,,
15,7.33,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
4,7.12,N/A
,,
N/A,N/A,N/A
,,
2,9,N/A
,,
2,7.5,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
1,1,N/A
,,
5,5.6,N/A
,,
1,5,N/A
,,
2,5,N/A
,,
N/A,N/A,N/A
,,
314,8.74,6.06
,,
N/A,N/A,N/A
,,
67,8.24,5.639
,,
4,6.25,N/A
,,
61,8.17,5.623
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
3,8,N/A
,,
N/A,N/A,N/A
,,
2,9,N/A
,,
2,9,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
80,8.07,5.647
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
10,8,N/A
,,
N/A,N/A,N/A
,,
22,7.07,N/A
,,
1,6,N/A
,,
8,4.94,N/A
,,
4,9,N/A
,,
19,8.34,N/A
,,
2,7.5,N/A
,,
2,9,N/A
,,
22,7.11,N/A
,,
939,7.74,6.433
,,
9,6.83,N/A
,,
45,7.8,5.58
,,
20,7.2,N/A
,,
13,8.88,N/A
,,
4,7,N/A
,,
1,4,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
15,8.73,N/A
,,
N/A,N/A,N/A
,,
43,7.62,5.574
,,
N/A,N/A,N/A
,,
1,2,N/A
,,
2,7.5,N/A
,,
N/A,N/A,N/A
,,
2,7.5,N/A
,,
3,8,N/A
,,
1,8,N/A
,,
1,7,N/A
,,
3,7,N/A
,,
9,8.61,N/A
,,
6,8.5,N/A
,,
6,8.33,N/A
,,
6,8.33,N/A
,,
185,8.53,5.872
,,
23,6.41,N/A
,,
1,3,N/A
,,
N/A,N/A,N/A
,,
11,7.32,N/A
,,
7,7.86,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
3,7.17,N/A
,,
N/A,N/A,N/A
,,
23,7.5,N/A
,,
16,7.75,N/A
,,
10,7.3,N/A
,,
24,7.92,N/A
,,
26,7.97,N/A
,,
5,6.1,N/A
,,
N/A,N/A,N/A
,,
10,8.43,N/A
,,
2,8,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
3,8,N/A
,,
7,7.29,N/A
,,
4,6.5,N/A
,,
16,6.19,N/A
,,
1,6,N/A
,,
23,7.39,N/A
,,
7,7.86,N/A
,,
12,7.47,N/A
,,
N/A,N/A,N/A
,,
N/A,N/A,N/A
,,
1,6,N/A
,,
14,7.43,N/A
,,
5,9.2,N/A
,,
2,7.5,N/A
,,
2,7,N/A
,,
1,2,N/A
,,
5,8.6,N/A
,,
N/A,N/A,N/A
,,
8,7.75,N/A
,,
1,8,N/A
,,
N/A,N/A,N/A
,,
1,7,N/A
,,
22,9.35,N/A
,,
2,7.5,N/A
,,
2,7.5,N/A
,,
24,7.76,N/A
,,
N/A,N/A,N/A
,,
23,7.84,N/A
,,
